unique_sale_id,date_id,item_code,quantity_sold,sale_unit_price,sale_unit_cost,total_line_amount,total_line_benefit,line_profit_margin
2024-12-13-200200,2024-12-13,200200,3,55,52.01,165,8.97,0.054363636364
2025-03-04-200200,2025-03-04,200200,3,55,52.01,165,8.97,0.054363636364
2025-01-28-200200,2025-01-28,200200,3,55,52.01,165,8.97,0.054363636364
2024-12-20-200200,2024-12-20,200200,3,55,52.01,165,8.97,0.054363636364
2025-02-19-200200,2025-02-19,200200,5,55,52.01,275,14.95,0.054363636364
2024-08-12-631758001775,2024-08-12,631758001775,1,36.75,34.7,36.75,2.05,0.055782312925
2024-08-22-631758001775,2024-08-22,631758001775,4,36.75,34.7,147,8.2,0.055782312925
2024-12-05-631758001775,2024-12-05,631758001775,5,36.75,34.7,183.75,10.25,0.055782312925
2024-09-01-200690,2024-09-01,200690,1,58.5,55.2,58.5,3.3,0.05641025641
2025-09-11-200013,2025-09-11,200013,1,14.25,13.43,14.25,0.82,0.057543859649
2024-09-23-200013,2024-09-23,200013,1,14.25,13.43,14.25,0.82,0.057543859649
2024-12-19-200013,2024-12-19,200013,2,14.25,13.43,28.5,1.64,0.057543859649
2025-01-13-631758001072,2025-01-13,631758001072,1,150,140.91,150,9.09,0.0606
2024-10-21-631758001072,2024-10-21,631758001072,1,150,140.91,150,9.09,0.0606
2025-01-23-631758001072,2025-01-23,631758001072,1,150,140.91,150,9.09,0.0606
2025-02-03-631758001072,2025-02-03,631758001072,5,150,140.91,750,45.45,0.0606
2025-08-04-400004,2025-08-04,400004,1,53,49.75,53,3.25,0.061320754717
2025-03-21-400004,2025-03-21,400004,1,53,49.75,53,3.25,0.061320754717
2025-03-19-400004,2025-03-19,400004,1,53,49.75,53,3.25,0.061320754717
2025-04-28-400004,2025-04-28,400004,1,53,49.75,53,3.25,0.061320754717
2025-08-01-400004,2025-08-01,400004,1,53,49.75,53,3.25,0.061320754717
2025-04-21-400004,2025-04-21,400004,1,53,49.75,53,3.25,0.061320754717
2025-10-12-400004,2025-10-12,400004,1,53,49.75,53,3.25,0.061320754717
2025-04-15-400004,2025-04-15,400004,1,53,49.75,53,3.25,0.061320754717
2025-06-02-400004,2025-06-02,400004,1,53,49.75,53,3.25,0.061320754717
2025-09-25-400004,2025-09-25,400004,1,53,49.75,53,3.25,0.061320754717
2025-04-29-400004,2025-04-29,400004,1,53,49.75,53,3.25,0.061320754717
2024-12-23-7502275940133,2024-12-23,7502275940133,1,63,59.1,63,3.9,0.061904761905
2024-12-30-7502275940133,2024-12-30,7502275940133,4,63,59.1,252,15.6,0.061904761905
2025-05-05-7506452400267,2025-05-05,7506452400267,1,74.25,69.54,74.25,4.71,0.063434343434
2025-04-24-7501060828328,2025-04-24,7501060828328,1,80.25,75,80.25,5.25,0.065420560748
2024-10-24-7506021101557,2024-10-24,7506021101557,1,162,151.38,162,10.62,0.065555555556
2025-01-20-7506021101557,2025-01-20,7506021101557,1,162,151.38,162,10.62,0.065555555556
2024-09-19-7506021101557,2024-09-19,7506021101557,1,162,151.38,162,10.62,0.065555555556
2025-01-16-7506021101557,2025-01-16,7506021101557,1,162,151.38,162,10.62,0.065555555556
2025-02-03-7506021101557,2025-02-03,7506021101557,1,162,151.38,162,10.62,0.065555555556
2025-10-09-7506021101557,2025-10-09,7506021101557,1,162,151.38,162,10.62,0.065555555556
2024-10-17-7506021101557,2024-10-17,7506021101557,1,162,151.38,162,10.62,0.065555555556
2024-11-21-7506021101557,2024-11-21,7506021101557,1,162,151.38,162,10.62,0.065555555556
2024-12-02-7506021101557,2024-12-02,7506021101557,1,162,151.38,162,10.62,0.065555555556
2024-09-02-7506021101557,2024-09-02,7506021101557,1,162,151.38,162,10.62,0.065555555556
2024-11-25-7506021101557,2024-11-25,7506021101557,1,162,151.38,162,10.62,0.065555555556
2025-07-21-7506021101557,2025-07-21,7506021101557,1,162,151.38,162,10.62,0.065555555556
2024-10-28-7506021101557,2024-10-28,7506021101557,1,162,151.38,162,10.62,0.065555555556
2025-01-23-7506021101557,2025-01-23,7506021101557,1,162,151.38,162,10.62,0.065555555556
2025-02-06-7506021101557,2025-02-06,7506021101557,2,162,151.38,324,21.24,0.065555555556
2025-01-09-7506021101557,2025-01-09,7506021101557,2,162,151.38,324,21.24,0.065555555556
2024-10-07-7506021101557,2024-10-07,7506021101557,2,162,151.38,324,21.24,0.065555555556
2024-09-12-7506021101557,2024-09-12,7506021101557,2,162,151.38,324,21.24,0.065555555556
2024-09-09-7506021101557,2024-09-09,7506021101557,2,162,151.38,324,21.24,0.065555555556
2024-10-10-7506021101557,2024-10-10,7506021101557,3,162,151.38,486,31.86,0.065555555556
2025-02-17-7506021101557,2025-02-17,7506021101557,4,162,151.38,648,42.48,0.065555555556
2024-12-09-7506021101557,2024-12-09,7506021101557,7,162,151.38,1134,74.34,0.065555555556
2024-11-11-7506021101557,2024-11-11,7506021101557,10,162,151.38,1620,106.2,0.065555555556
2024-10-03-600029,2024-10-03,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2025-03-31-600029,2025-03-31,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2024-12-12-600029,2024-12-12,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2024-08-22-600029,2024-08-22,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2024-09-12-600029,2024-09-12,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2024-11-11-600029,2024-11-11,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2025-02-20-600029,2025-02-20,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2025-05-05-600029,2025-05-05,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2025-03-03-600029,2025-03-03,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2025-03-17-600029,2025-03-17,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2024-10-10-600029,2024-10-10,600029,1,44.25,41.3,44.25,2.95,0.066666666667
2024-09-02-600029,2024-09-02,600029,2,44.25,41.3,88.5,5.9,0.066666666667
2025-03-13-600029,2025-03-13,600029,3,44.25,41.3,132.75,8.85,0.066666666667
2025-05-12-600029,2025-05-12,600029,4,44.25,41.3,177,11.8,0.066666666667
2025-03-17-100033,2025-03-17,100033,3,66.67,62.21,200.01,13.38,0.066896655167
2025-02-20-100088,2025-02-20,100088,1,51,47.51,51,3.49,0.068431372549
2024-12-02-100088,2024-12-02,100088,1,51,47.51,51,3.49,0.068431372549
2025-02-06-100088,2025-02-06,100088,1,51,47.51,51,3.49,0.068431372549
2025-03-17-100088,2025-03-17,100088,4,51,47.51,204,13.96,0.068431372549
2024-11-07-200277,2024-11-07,200277,1,14.25,13.26,14.25,0.99,0.069473684211
2024-08-08-200277,2024-08-08,200277,1,14.25,13.26,14.25,0.99,0.069473684211
2025-05-05-7506021101090,2025-05-05,7506021101090,2,147,136.52,294,20.96,0.071292517007
2025-04-14-200017,2025-04-14,200017,1,24.75,22.96,24.75,1.79,0.072323232323
2025-05-23-200017,2025-05-23,200017,1,24.75,22.96,24.75,1.79,0.072323232323
2025-05-12-200017,2025-05-12,200017,1,24.75,22.96,24.75,1.79,0.072323232323
2025-04-28-200017,2025-04-28,200017,1,24.75,22.96,24.75,1.79,0.072323232323
2025-07-11-200017,2025-07-11,200017,1,24.75,22.96,24.75,1.79,0.072323232323
2024-12-23-200300,2024-12-23,200300,1,20,18.53,20,1.47,0.0735
2025-02-28-200300,2025-02-28,200300,1,20,18.53,20,1.47,0.0735
2025-06-30-200444,2025-06-30,200444,2,45.81,42.44,91.62,6.742,0.073584946847
2025-02-03-200147,2025-02-03,200147,1,36,33.3,36,2.7,0.075
2025-04-24-200147,2025-04-24,200147,1,36,33.3,36,2.7,0.075
2025-07-07-200147,2025-07-07,200147,1,36,33.3,36,2.7,0.075
2024-11-07-200147,2024-11-07,200147,1,36,33.3,36,2.7,0.075
2024-10-10-200147,2024-10-10,200147,1,36,33.3,36,2.7,0.075
2024-12-02-200147,2024-12-02,200147,1,36,33.3,36,2.7,0.075
2025-01-06-200147,2025-01-06,200147,1,36,33.3,36,2.7,0.075
2025-09-22-200147,2025-09-22,200147,1,36,33.3,36,2.7,0.075
2025-01-27-200147,2025-01-27,200147,1,36,33.3,36,2.7,0.075
2025-04-07-200147,2025-04-07,200147,1,36,33.3,36,2.7,0.075
2025-01-30-200147,2025-01-30,200147,1,36,33.3,36,2.7,0.075
2024-11-21-200147,2024-11-21,200147,1,36,33.3,36,2.7,0.075
2025-01-02-200147,2025-01-02,200147,1,36,33.3,36,2.7,0.075
2025-01-13-200147,2025-01-13,200147,1,36,33.3,36,2.7,0.075
2024-12-19-200147,2024-12-19,200147,1,36,33.3,36,2.7,0.075
2025-02-10-200147,2025-02-10,200147,1,36,33.3,36,2.7,0.075
2024-12-05-200147,2024-12-05,200147,1,36,33.3,36,2.7,0.075
2025-01-09-200147,2025-01-09,200147,1,36,33.3,36,2.7,0.075
2024-12-26-200147,2024-12-26,200147,1,36,33.3,36,2.7,0.075
2025-03-03-200147,2025-03-03,200147,2,36,33.3,72,5.4,0.075
2024-12-30-200147,2024-12-30,200147,2,36,33.3,72,5.4,0.075
2024-10-28-200147,2024-10-28,200147,2,36,33.3,72,5.4,0.075
2024-09-26-200147,2024-09-26,200147,2,36,33.3,72,5.4,0.075
2024-11-04-200147,2024-11-04,200147,2,36,33.3,72,5.4,0.075
2025-04-17-200147,2025-04-17,200147,2,36,33.3,72,5.4,0.075
2024-10-21-200147,2024-10-21,200147,3,36,33.3,108,8.1,0.075
2024-09-05-200147,2024-09-05,200147,3,36,33.3,108,8.1,0.075
2024-12-09-200147,2024-12-09,200147,3,36,33.3,108,8.1,0.075
2024-10-14-200147,2024-10-14,200147,4,36,33.3,144,10.8,0.075
2024-08-08-200002,2024-08-08,200002,2,43.5,40.11,87,6.78,0.077931034483
2024-12-30-200710,2024-12-30,200710,1,18.75,17.28,18.75,1.47,0.0784
2025-01-13-200710,2025-01-13,200710,1,18.75,17.28,18.75,1.47,0.0784
2024-09-02-200710,2024-09-02,200710,1,18.75,17.28,18.75,1.47,0.0784
2024-10-07-200710,2024-10-07,200710,1,18.75,17.28,18.75,1.47,0.0784
2025-01-09-200710,2025-01-09,200710,1,18.75,17.28,18.75,1.47,0.0784
2024-09-09-200710,2024-09-09,200710,1,18.75,17.28,18.75,1.47,0.0784
2024-11-11-200710,2024-11-11,200710,1,18.75,17.28,18.75,1.47,0.0784
2024-10-14-200710,2024-10-14,200710,1,18.75,17.28,18.75,1.47,0.0784
2025-02-03-200710,2025-02-03,200710,2,18.75,17.28,37.5,2.94,0.0784
2024-08-19-200710,2024-08-19,200710,2,18.75,17.28,37.5,2.94,0.0784
2024-12-26-200710,2024-12-26,200710,4,18.75,17.28,75,5.88,0.0784
2024-08-11-200181,2024-08-11,200181,2,600,552.67,1200,94.66,0.078883333333
2025-03-24-300044,2025-03-24,300044,1,20.25,18.64,20.25,1.61,0.07950617284
2025-03-03-300044,2025-03-03,300044,1,20.25,18.64,20.25,1.61,0.07950617284
2025-03-20-300044,2025-03-20,300044,2,20.25,18.64,40.5,3.22,0.07950617284
2024-08-19-300044,2024-08-19,300044,2,20.25,18.64,40.5,3.22,0.07950617284
2025-01-30-300044,2025-01-30,300044,2,20.25,18.64,40.5,3.22,0.07950617284
2024-10-21-300044,2024-10-21,300044,2,20.25,18.64,40.5,3.22,0.07950617284
2025-01-23-4693258523092,2025-01-23,4693258523092,1,75,69,75,6,0.08
2024-09-16-4693258523092,2024-09-16,4693258523092,1,75,69,75,6,0.08
2024-08-22-4693258523092,2024-08-22,4693258523092,1,75,69,75,6,0.08
2024-12-05-4693258523092,2024-12-05,4693258523092,2,75,69,150,12,0.08
2025-07-08-750104936254,2025-07-08,750104936254,2,86.25,79,172.5,14.5,0.084057971014
2025-01-13-750104936346,2025-01-13,750104936346,1,86.25,79,86.25,7.25,0.084057971014
2024-10-13-300060,2024-10-13,300060,2,31.5,28.85,63,5.3,0.084126984127
2024-08-05-7502227420218,2024-08-05,7502227420218,2,32.25,29.47,64.5,5.56,0.086201550388
2024-12-16-200306,2024-12-16,200306,1,45,41.12,45,3.88,0.086222222222
2025-05-12-200306,2025-05-12,200306,1,45,41.12,45,3.88,0.086222222222
2025-05-10-200306,2025-05-10,200306,1,45,41.12,45,3.88,0.086222222222
2024-12-23-200039,2024-12-23,200039,1,27.75,25.34,27.75,2.41,0.086846846847
2024-10-24-200039,2024-10-24,200039,1,27.75,25.34,27.75,2.41,0.086846846847
2024-12-19-200039,2024-12-19,200039,2,27.75,25.34,55.5,4.82,0.086846846847
2025-01-06-200039,2025-01-06,200039,2,27.75,25.34,55.5,4.82,0.086846846847
2024-11-21-200039,2024-11-21,200039,2,27.75,25.34,55.5,4.82,0.086846846847
2025-02-03-200039,2025-02-03,200039,2,27.75,25.34,55.5,4.82,0.086846846847
2024-08-08-200039,2024-08-08,200039,2,27.75,25.34,55.5,4.82,0.086846846847
2025-01-20-200039,2025-01-20,200039,2,27.75,25.34,55.5,4.82,0.086846846847
2025-01-02-200039,2025-01-02,200039,2,27.75,25.34,55.5,4.82,0.086846846847
2025-01-09-200039,2025-01-09,200039,3,27.75,25.34,83.25,7.23,0.086846846847
2024-11-11-200039,2024-11-11,200039,3,27.75,25.34,83.25,7.23,0.086846846847
2024-12-02-200039,2024-12-02,200039,4,27.75,25.34,111,9.64,0.086846846847
2025-02-10-200039,2025-02-10,200039,5,27.75,25.34,138.75,12.05,0.086846846847
2025-02-06-200039,2025-02-06,200039,5,27.75,25.34,138.75,12.05,0.086846846847
2024-08-12-500015,2024-08-12,500015,1,15,13.68,15,1.32,0.088
2025-06-02-200001,2025-06-02,200001,1,49.5,45.01,49.5,4.49,0.090707070707
2024-09-12-200001,2024-09-12,200001,1,49.5,45.01,49.5,4.49,0.090707070707
2025-10-09-200001,2025-10-09,200001,1,49.5,45.01,49.5,4.49,0.090707070707
2024-09-26-200001,2024-09-26,200001,1,49.5,45.01,49.5,4.49,0.090707070707
2025-02-12-200001,2025-02-12,200001,1,49.5,45.01,49.5,4.49,0.090707070707
2025-02-27-200001,2025-02-27,200001,2,49.5,45.01,99,8.98,0.090707070707
2025-05-01-200001,2025-05-01,200001,2,49.5,45.01,99,8.98,0.090707070707
2025-08-04-200001,2025-08-04,200001,3,49.5,45.01,148.5,13.47,0.090707070707
2024-10-10-200678,2024-10-10,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-08-200678,2025-01-08,200678,1,54,48.93,54,5.07,0.093888888889
2024-12-18-200678,2024-12-18,200678,1,54,48.93,54,5.07,0.093888888889
2024-08-08-200678,2024-08-08,200678,1,54,48.93,54,5.07,0.093888888889
2024-09-12-200678,2024-09-12,200678,1,54,48.93,54,5.07,0.093888888889
2024-09-30-200678,2024-09-30,200678,1,54,48.93,54,5.07,0.093888888889
2024-11-01-200678,2024-11-01,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-21-200678,2025-01-21,200678,1,54,48.93,54,5.07,0.093888888889
2024-12-24-200678,2024-12-24,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-26-200678,2025-01-26,200678,1,54,48.93,54,5.07,0.093888888889
2024-11-15-200678,2024-11-15,200678,1,54,48.93,54,5.07,0.093888888889
2024-10-04-200678,2024-10-04,200678,1,54,48.93,54,5.07,0.093888888889
2024-12-27-200678,2024-12-27,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-16-200678,2025-01-16,200678,1,54,48.93,54,5.07,0.093888888889
2024-08-07-200678,2024-08-07,200678,1,54,48.93,54,5.07,0.093888888889
2024-12-20-200678,2024-12-20,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-27-200678,2025-01-27,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-28-200678,2025-01-28,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-05-200678,2025-01-05,200678,1,54,48.93,54,5.07,0.093888888889
2024-10-13-200678,2024-10-13,200678,1,54,48.93,54,5.07,0.093888888889
2024-08-13-200678,2024-08-13,200678,1,54,48.93,54,5.07,0.093888888889
2024-08-23-200678,2024-08-23,200678,1,54,48.93,54,5.07,0.093888888889
2024-10-28-200678,2024-10-28,200678,1,54,48.93,54,5.07,0.093888888889
2024-11-29-200678,2024-11-29,200678,1,54,48.93,54,5.07,0.093888888889
2024-08-29-200678,2024-08-29,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-09-200678,2025-01-09,200678,1,54,48.93,54,5.07,0.093888888889
2024-12-16-200678,2024-12-16,200678,1,54,48.93,54,5.07,0.093888888889
2025-01-02-200678,2025-01-02,200678,1,54,48.93,54,5.07,0.093888888889
2024-10-19-200678,2024-10-19,200678,2,54,48.93,108,10.14,0.093888888889
2024-10-23-200678,2024-10-23,200678,2,54,48.93,108,10.14,0.093888888889
2024-12-23-200678,2024-12-23,200678,2,54,48.93,108,10.14,0.093888888889
2024-11-07-200678,2024-11-07,200678,2,54,48.93,108,10.14,0.093888888889
2025-01-04-200678,2025-01-04,200678,2,54,48.93,108,10.14,0.093888888889
